Time,u[0],d[0],x[0],x[1],x[2],y[0]
0.354,-0.625174,0,0.259665,0.498852,1,0.625174
0.355,-0.62485,0,0.260164,0.497728,1,0.62485
0.356,-0.624526,0,0.260661,0.496607,1,0.624526
0.357,-0.624202,0,0.261157,0.495486,1,0.624202
0.358,-0.623878,0,0.261652,0.494368,1,0.623878
0.359,-0.623554,0,0.262145,0.49325,1,0.623554
0.36,-0.62323,0,0.262638,0.492134,1,0.62323
0.361,-0.622906,0,0.26313,0.49102,1,0.622906
0.362,-0.622581,0,0.26362,0.489907,1,0.622581
0.363,-0.622257,0,0.26411,0.488795,1,0.622257
0.364,-0.621933,0,0.264598,0.487685,1,0.621933
0.365,-0.621608,0,0.265085,0.486576,1,0.621608
0.366,-0.621284,0,0.265571,0.485469,1,0.621284
0.367,-0.620959,0,0.266056,0.484363,1,0.620959
0.368,-0.620634,0,0.26654,0.483259,1,0.620634
0.369,-0.62031,0,0.267022,0.482156,1,0.62031
0.37,-0.619985,0,0.267504,0.481054,1,0.619985
0.371,-0.61966,0,0.267984,0.479954,1,0.61966
0.372,-0.619335,0,0.268464,0.478855,1,0.619335
0.373,-0.61901,0,0.268942,0.477758,1,0.61901
0.374,-0.618685,0,0.269419,0.476662,1,0.618685
0.375,-0.61836,0,0.269896,0.475568,1,0.61836
0.376,-0.618035,0,0.270371,0.474474,1,0.618035
0.377,-0.61771,0,0.270844,0.473383,1,0.61771
0.378,-0.617385,0,0.271317,0.472293,1,0.617385
0.379,-0.617059,0,0.271789,0.471204,1,0.617059
0.38,-0.616734,0,0.27226,0.470116,1,0.616734
0.381,-0.616409,0,0.272729,0.46903,1,0.616409
0.382,-0.616083,0,0.273198,0.467946,1,0.616083
0.383,-0.615758,0,0.273665,0.466863,1,0.615758
0.384,-0.615432,0,0.274131,0.465781,1,0.615432
0.385,-0.615107,0,0.274597,0.464701,1,0.615107
0.386,-0.614781,0,0.275061,0.463622,1,0.614781
0.387,-0.614455,0,0.275524,0.462544,1,0.614455
0.388,-0.61413,0,0.275986,0.461468,1,0.61413
0.389,-0.613804,0,0.276447,0.460393,1,0.613804
0.39,-0.613478,0,0.276907,0.45932,1,0.613478
0.391,-0.613152,0,0.277366,0.458248,1,0.613152
0.392,-0.612826,0,0.277823,0.457177,1,0.612826
