time,theta,q,e,H
0.139,0.123136221038754,0.777806210851961,-0.69252988582502,1
0.14,0.123913292376306,0.776336758935053,-0.692231243700116,1
0.141,0.124688895145723,0.774869074315863,-0.691932426758799,1
0.142,0.125463031113506,0.773403155402407,-0.691633435602156,1
0.143,0.126235702044566,0.771939000603688,-0.691334270830408,1
0.144,0.127006909702222,0.770476608329702,-0.69103493304291,1
0.145,0.127776655848204,0.769015976991437,-0.690735422838154,1
0.146,0.128544942242654,0.767557105000867,-0.690435740813768,1
0.147,0.129311770644126,0.766099990770961,-0.690135887566518,1
0.148,0.130077142809587,0.764644632715676,-0.689835863692306,1
0.149,0.13084106049442,0.76319102924996,-0.689535669786176,1
0.15,0.131603525452423,0.761739178789748,-0.689235306442311,1
0.151,0.132364539435807,0.76028907975197,-0.688934774254035,1
0.152,0.133124104195207,0.75884073055454,-0.688634073813814,1
0.153,0.13388222147967,0.757394129616367,-0.688333205713258,1
0.154,0.134638893036666,0.755949275357345,-0.688032170543117,1
0.155,0.135394120612084,0.754506166198359,-0.68773096889329,1
0.156,0.136147905950236,0.753064800561284,-0.68742960135282,1
0.157,0.136900250793855,0.751625176868983,-0.687128068509895,1
0.158,0.137651156884097,0.750187293545309,-0.686826370951851,1
0.159,0.138400625960544,0.748751149015101,-0.686524509265173,1
0.16,0.139148659761201,0.747316741704189,-0.686222484035494,1
0.161,0.139895260022501,0.745884070039392,-0.685920295847599,1
0.162,0.140640428479304,0.744453132448516,-0.68561794528542,1
0.163,0.141384166864899,0.743023927360354,-0.685315432932045,1
0.164,0.142126476911002,0.74159645320469,-0.68501275936971,1
0.165,0.142867360347762,0.740170708412293,-0.68470992517981,1
0.166,0.143606818903759,0.738746691414923,-0.684406930942889,1
0.167,0.144344854306002,0.737324400645324,-0.68410377723865,1
0.168,0.145081468279936,0.735903834537231,-0.683800464645949,1
0.169,0.145816662549441,0.734484991525363,-0.683496993742803,1
0.17,0.146550438836831,0.733067870045428,-0.683193365106383,1
0.171,0.147282798862855,0.731652468534122,-0.682889579313022,1
0.172,0.148013744346701,0.730238785429126,-0.682585636938209,1
0.173,0.148743277005995,0.728826819169108,-0.682281538556597,1
0.174,0.149471398556801,0.727416568193724,-0.681977284741998,1
0.175,0.150198110713624,0.726008030943615,-0.681672876067388,1
0.176,0.150923415189411,0.724601205860409,-0.681368313104905,1
0.177,0.151647313695548,0.72319609138672,-0.681063596425852,1
0.178,0.152369807941868,0.721792685966148,-0.680758726600696,1
0.179,0.153090899636646,0.720390988043279,-0.680453704199071,1
0.18,0.153810590486603,0.718990996063685,-0.680148529789775,1
0.181,0.154528882196904,0.717592708473923,-0.679843203940777,1
0.182,0.155245776471163,0.716196123721534,-0.679537727219212,1
0.183,0.155961275011442,0.714801240255048,-0.679232100191385,1
0.184,0.156675379518252,0.713408056523977,-0.678926323422772,1
0.185,0.157388091690552,0.712016570978818,-0.678620397478018,1
0.186,0.158099413225755,0.710626782071054,-0.678314322920943,1
0.187,0.158809345819724,0.709238688253154,-0.678008100314536,1
0.188,0.159517891166776,0.707852287978567,-0.677701730220963,1
0.189,0.16022505095968,0.706467579701731,-0.677395213201562,1
0.19,0.160930826889664,0.705084561878064,-0.677088549816849,1
0.191,0.161635220646406,0.703703232963973,-0.676781740626512,1
